 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, rowcost
C major (0), 0, 1, 1, 1, 1, 4, 4, 1, 0, 1, 1, 1, 1, 4, 4, 1,  , 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 4, 4, 2,  , 0, 2, 2, 4, 5, 7, 1, 1, 1, 1, 4, 4, 5, 2, 1,  , 2, 3, 3, 3, 1, 2, 2, 4, 0, 1, 4, 1, 3, 1, 3, 2, 0, 119
A minor (0), 0, 1, 1, 1, 1, 5, 3, 1, 0, 1, 1, 1, 1, 5, 3, 1,  , 2, 2, 1, 1, 1, 1, 2, 2, 1, 1, 1, 1, 5, 3, 3,  , 0, 2, 2, 2, 6, 8, 1, 2, 2, 2, 5, 6, 5, 8, 1,  , 3, 3, 3, 2, 2, 3, 3, 4, 0, 1, 4, 2, 3, 1, 4, 3, 0, 146
A minor mel (0), 1, 2, 2, 2, 1, 6, 2, 2, 1, 2, 2, 2, 1, 6, 2, 2,  , 1, 1, 1, 1, 2, 2, 3, 3, 2, 2, 2, 1, 6, 2, 4,  , 0, 2, 2, 2, 5, 7, 1, 3, 3, 2, 6, 5, 4, 8, 1,  , 3, 2, 4, 3, 3, 4, 4, 5, 1, 1, 3, 3, 2, 2, 5, 4, 0, 169
C major blues (0), 1, 2, 2, 2, 1, 5, 5, 2, 1, 2, 2, 2, 1, 5, 5, 2,  , 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 5, 5, 3,  , 1, 3, 2, 5, 5, 7, 1, 2, 2, 1, 5, 4, 5, 2, 1,  , 2, 3, 5, 5, 3, 4, 4, 5, 1, 2, 4, 3, 4, 2, 4, 3, 0, 174
A minor blues (0), 1, 2, 2, 2, 1, 6, 5, 2, 1, 2, 2, 2, 1, 6, 5, 2,  , 2, 2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 1, 6, 5, 4,  , 1, 3, 2, 4, 5, 7, 1, 2, 2, 1, 5, 6, 6, 8, 1,  , 2, 3, 5, 5, 3, 4, 4, 5, 1, 2, 5, 4, 5, 2, 4, 3, 0, 189
C dorian (0), 1, 2, 2, 2, 1, 5, 3, 2, 1, 2, 2, 2, 1, 5, 3, 2,  , 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 1, 5, 3, 3,  , 0, 2, 2, 4, 4, 6, 1, 2, 2, 1, 5, 3, 4, 2, 1,  , 2, 2, 4, 4, 2, 3, 3, 5, 1, 1, 3, 2, 2, 2, 4, 3, 0, 142
C phrygian (0), 0, 0, 0, 0, 0, 3, 5, 0, 0, 0, 0, 0, 0, 3, 5, 0,  , 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 1,  , 0, 2, 1, 5, 4, 6, 0, 0, 1, 1, 3, 3, 4, 1, 0,  , 1, 2, 4, 4, 0, 1, 3, 3, 0, 1, 3, 1, 4, 1, 2, 1, 0, 91
C lydian (0), 1, 2, 2, 2, 1, 5, 3, 2, 1, 2, 2, 2, 1, 5, 3, 2,  , 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 1, 5, 3, 3,  , 0, 2, 2, 4, 4, 6, 1, 2, 2, 1, 5, 3, 4, 2, 1,  , 2, 2, 4, 4, 2, 3, 3, 5, 1, 1, 3, 2, 2, 2, 4, 3, 0, 142
C mixolydian (0), 0, 0, 0, 0, 0, 3, 5, 0, 0, 0, 0, 0, 0, 3, 5, 0,  , 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 1,  , 0, 2, 1, 5, 4, 6, 0, 0, 1, 1, 3, 3, 4, 1, 0,  , 1, 2, 4, 4, 0, 1, 3, 3, 0, 1, 3, 1, 4, 1, 2, 1, 0, 91
C aeolian (0), 0, 1, 1, 1, 1, 4, 4, 1, 0, 1, 1, 1, 1, 4, 4, 1,  , 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 4, 4, 2,  , 0, 2, 2, 4, 5, 7, 1, 1, 1, 1, 4, 4, 5, 2, 1,  , 2, 3, 3, 3, 1, 2, 2, 4, 0, 1, 4, 1, 3, 1, 3, 2, 0, 119
