 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, rowcost
C major (0), 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0,  , 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 3:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 4:4:0:0:1, 2:2:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 2:2:0:0:2, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 3:3:0:0:1, 3:3:0:0:0,  , 2:2:0:0:1, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 4:3:0:0:1, 5:3:0:1:3, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 3:3:0:0:1, 4:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 107:102:0:1:14
A minor (0), 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0,  , 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 3:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 4:4:0:0:1, 2:2:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 2:2:0:0:2, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 3:3:0:0:1, 3:3:0:0:0,  , 2:2:0:0:1, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 4:3:0:0:1, 5:3:0:1:3, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 3:3:0:0:1, 4:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 107:102:0:1:14
A minor mel (0), 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0,  , 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 3:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 4:4:0:0:1, 2:2:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 2:2:0:0:2, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 3:3:0:0:1, 3:3:0:0:0,  , 2:2:0:0:1, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 4:3:0:0:1, 5:3:0:1:3, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 3:3:0:0:1, 4:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 107:102:0:1:14
C major blues (0), 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0,  , 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 3:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 4:4:0:0:1, 2:2:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 2:2:0:0:2, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 3:3:0:0:1, 3:3:0:0:0,  , 2:2:0:0:1, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 4:3:0:0:1, 5:3:0:1:3, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 3:3:0:0:1, 4:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 107:102:0:1:14
A minor blues (0), 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0,  , 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 3:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 4:4:0:0:1, 2:2:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 2:2:0:0:2, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 3:3:0:0:1, 3:3:0:0:0,  , 2:2:0:0:1, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 4:3:0:0:1, 5:3:0:1:3, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 3:3:0:0:1, 4:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 107:102:0:1:14
C dorian (0), 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0,  , 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 3:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 4:4:0:0:1, 2:2:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 2:2:0:0:2, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 3:3:0:0:1, 3:3:0:0:0,  , 2:2:0:0:1, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 4:3:0:0:1, 5:3:0:1:3, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 3:3:0:0:1, 4:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 107:102:0:1:14
C phrygian (0), 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0,  , 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 3:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 4:4:0:0:1, 2:2:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 2:2:0:0:2, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 3:3:0:0:1, 3:3:0:0:0,  , 2:2:0:0:1, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 4:3:0:0:1, 5:3:0:1:3, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 3:3:0:0:1, 4:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 107:102:0:1:14
C lydian (0), 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0,  , 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 3:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 4:4:0:0:1, 2:2:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 2:2:0:0:2, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 3:3:0:0:1, 3:3:0:0:0,  , 2:2:0:0:1, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 4:3:0:0:1, 5:3:0:1:3, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 3:3:0:0:1, 4:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 107:102:0:1:14
C mixolydian (0), 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0,  , 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 3:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 4:4:0:0:1, 2:2:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 2:2:0:0:2, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 3:3:0:0:1, 3:3:0:0:0,  , 2:2:0:0:1, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 4:3:0:0:1, 5:3:0:1:3, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 3:3:0:0:1, 4:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 107:102:0:1:14
C aeolian (0), 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0,  , 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 3:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 4:4:0:0:1, 2:2:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 2:2:0:0:2, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 0:0:0:0:0, 3:3:0:0:1, 3:3:0:0:0,  , 2:2:0:0:1, 3:3:0:0:0, 3:3:0:0:0, 0:0:0:0:0, 2:2:0:0:1, 1:1:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 4:3:0:0:1, 5:3:0:1:3, 1:1:0:0:0, 0:0:0:0:0, 2:2:0:0:0, 3:3:0:0:1, 4:3:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 1:1:0:0:0, 3:3:0:0:1, 1:1:0:0:0, 0:0:0:0:0, 1:1:0:0:0, 2:2:0:0:0, 1:1:0:0:0, 0:0:0:0:0, 107:102:0:1:14
