 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, rowcost
C major (0), 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/1, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 18/1
A minor (0), 1/0, 1/0, 1/0, 0/0, 0/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 1/1, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/1, 0/0, 1/0, 0/0, 1/0, 1/0, 0/0, 0/0, 18/3
F major (1b), 2/1, 2/1, 2/1, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/1, 1/0, 0/0, 0/0, 0/0, 2/1, 2/1, 2/1, 1/0, 1/0, 1/0, 0/0, 1/1, 1/1, 1/1, 1/1, 1/1, 0/0, 0/0, 1/0, 1/1, 1/1, 0/0, 2/1, 0/0, 2/1, 2/1, 0/0, 0/0, 36/17
G major (1#), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/0
D minor (1b), 2/0, 2/0, 2/0, 1/0, 1/0, 0/0, 0/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/0, 0/0, 2/0, 2/0, 2/0, 1/0, 1/0, 1/0, 0/0, 1/0, 1/0, 1/0, 1/0, 1/0, 0/0, 0/1, 1/1, 1/0, 1/0, 0/0, 2/0, 0/0, 2/0, 2/0, 0/0, 0/0, 36/2
E minor (1#), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 2/1
Bb major (2b), 2/2, 2/2, 2/2, 1/1, 1/1, 1/0, 0/0, 0/0, 2/1, 2/1, 2/1, 2/1, 1/1, 1/0, 0/0, 0/0, 2/2, 2/2, 2/2, 1/1, 1/1, 1/1, 1/0, 1/1, 2/2, 1/1, 2/1, 2/1, 1/0, 1/0, 2/1, 2/1, 2/1, 0/0, 2/2, 0/0, 2/2, 2/2, 0/0, 0/0, 51/37
D major (2#), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 1/0, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 5/0
G minor (2b), 2/0, 2/0, 2/0, 1/0, 1/0, 1/0, 0/0, 0/0, 2/0, 2/0, 2/0, 2/0, 1/0, 1/0, 0/0, 0/0, 2/0, 2/0, 2/0, 1/0, 1/0, 1/0, 1/0, 1/0, 2/0, 1/0, 2/0, 2/0, 1/0, 1/0, 1/0, 2/0, 2/0, 0/0, 2/0, 0/0, 2/0, 2/0, 0/0, 0/0, 50/0
B minor (2#), 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 1/1, 0/0, 0/0, 1/0, 0/0, 1/0, 0/0, 0/0, 0/0, 0/0, 5/2
