 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, rowcost
C major (0), 1, 2, 1,  , 1, 2, 1, 3, 3, 3, 1, 1, 0, 3, 1, 1, 3, 3, 3, 0, 3, 6, 2, 2, 1, 1, 1, 2, 1, 4, 1, 0, 2, 1, 1, 4, 0, 4, 3,  , 3, 3, 3, 0, 3, 1, 1, 0, 5, 5, 1, 0, 2, 4, 4, 1, 1, 1, 4, 1, 0, 1, 2, 1, 0, 119
A minor (0), 3, 2, 2,  , 2, 2, 1, 4, 3, 6, 1, 2, 1, 4, 1, 1, 4, 5, 4, 0, 3, 4, 4, 2, 2, 0, 3, 2, 2, 3, 2, 1, 4, 0, 3, 6, 1, 4, 4,  , 4, 4, 3, 1, 4, 1, 3, 0, 5, 6, 1, 0, 3, 6, 4, 1, 1, 1, 3, 0, 1, 3, 2, 2, 0, 157
A minor mel (0), 3, 2, 3,  , 2, 2, 2, 5, 4, 7, 2, 2, 1, 3, 2, 1, 5, 5, 4, 1, 4, 5, 5, 2, 2, 0, 3, 3, 2, 4, 2, 1, 5, 1, 4, 6, 1, 3, 3,  , 5, 5, 4, 2, 3, 2, 3, 0, 4, 7, 2, 1, 4, 5, 5, 2, 1, 2, 2, 1, 1, 4, 3, 2, 0, 182
C major blues (0), 2, 2, 2,  , 2, 2, 2, 5, 4, 5, 2, 1, 0, 3, 3, 1, 5, 4, 4, 1, 5, 8, 3, 3, 1, 1, 1, 4, 1, 5, 1, 0, 3, 3, 3, 4, 0, 4, 4,  , 5, 6, 4, 2, 3, 3, 2, 0, 5, 7, 3, 1, 4, 5, 5, 3, 1, 2, 4, 3, 0, 2, 4, 2, 0, 180
A minor blues (0), 3, 3, 2,  , 2, 3, 2, 7, 5, 7, 3, 1, 0, 3, 4, 1, 7, 5, 6, 1, 6, 7, 4, 4, 2, 1, 2, 5, 1, 5, 1, 0, 4, 3, 4, 5, 0, 5, 4,  , 5, 8, 5, 2, 3, 4, 3, 0, 5, 9, 4, 1, 4, 6, 6, 4, 1, 2, 4, 3, 0, 3, 5, 3, 0, 218
C dorian (0), 1, 2, 2,  , 1, 2, 2, 4, 4, 4, 2, 1, 0, 2, 2, 1, 4, 3, 3, 1, 4, 7, 3, 2, 1, 1, 1, 3, 1, 5, 1, 0, 3, 2, 2, 4, 0, 3, 2,  , 4, 4, 4, 1, 2, 2, 1, 0, 4, 6, 2, 1, 3, 3, 5, 2, 1, 2, 3, 2, 0, 2, 3, 1, 0, 144
C phrygian (0), 2, 1, 1,  , 2, 1, 1, 2, 2, 2, 1, 1, 0, 3, 2, 1, 4, 2, 2, 0, 3, 7, 1, 3, 1, 1, 1, 3, 1, 3, 1, 0, 2, 2, 2, 3, 0, 4, 4,  , 2, 4, 2, 0, 3, 2, 2, 0, 4, 4, 1, 0, 1, 5, 3, 2, 1, 1, 4, 2, 0, 1, 3, 2, 0, 121
C lydian (0), 1, 2, 2,  , 1, 2, 2, 4, 4, 4, 2, 1, 0, 2, 2, 1, 4, 3, 3, 1, 4, 7, 3, 2, 1, 1, 1, 3, 1, 5, 1, 0, 3, 2, 2, 4, 0, 3, 2,  , 4, 4, 4, 1, 2, 2, 1, 0, 4, 6, 2, 1, 3, 3, 5, 2, 1, 2, 3, 2, 0, 2, 3, 1, 0, 144
C mixolydian (0), 2, 1, 1,  , 2, 1, 1, 2, 2, 2, 1, 1, 0, 3, 2, 1, 4, 2, 2, 0, 3, 7, 1, 3, 1, 1, 1, 3, 1, 3, 1, 0, 2, 2, 2, 3, 0, 4, 4,  , 2, 4, 2, 0, 3, 2, 2, 0, 4, 4, 1, 0, 1, 5, 3, 2, 1, 1, 4, 2, 0, 1, 3, 2, 0, 121
C aeolian (0), 1, 2, 1,  , 1, 2, 1, 3, 3, 3, 1, 1, 0, 3, 1, 1, 3, 3, 3, 0, 3, 6, 2, 2, 1, 1, 1, 2, 1, 4, 1, 0, 2, 1, 1, 4, 0, 4, 3,  , 3, 3, 3, 0, 3, 1, 1, 0, 5, 5, 1, 0, 2, 4, 4, 1, 1, 1, 4, 1, 0, 1, 2, 1, 0, 119
C locrian (0), 1, 1, 0,  , 1, 1, 0, 3, 2, 3, 1, 0, 0, 2, 2, 0, 4, 3, 3, 0, 4, 6, 0, 2, 0, 1, 0, 3, 0, 3, 0, 0, 1, 2, 1, 2, 0, 3, 3,  , 3, 5, 2, 1, 2, 2, 1, 0, 3, 5, 2, 0, 2, 4, 2, 2, 0, 0, 3, 2, 0, 0, 2, 1, 0, 102
F major (1b), 2, 1, 1,  , 2, 1, 1, 2, 2, 2, 1, 1, 0, 4, 2, 1, 4, 2, 2, 0, 2, 7, 1, 3, 1, 1, 1, 3, 1, 3, 1, 0, 2, 2, 2, 3, 0, 3, 5,  , 2, 4, 2, 0, 2, 2, 2, 0, 4, 4, 1, 0, 1, 4, 3, 2, 1, 1, 3, 2, 0, 1, 3, 2, 0, 118
G major (1#), 1, 2, 2,  , 1, 2, 2, 5, 5, 5, 2, 1, 0, 2, 2, 1, 5, 3, 4, 1, 4, 5, 3, 2, 1, 1, 1, 3, 1, 5, 1, 0, 3, 2, 2, 4, 0, 3, 2,  , 4, 5, 5, 1, 2, 2, 1, 0, 4, 7, 2, 1, 3, 3, 5, 2, 1, 2, 3, 2, 0, 2, 3, 1, 0, 150
D minor (1b), 3, 2, 2,  , 3, 3, 2, 3, 2, 3, 3, 2, 0, 3, 4, 2, 5, 2, 3, 0, 5, 4, 2, 4, 2, 1, 2, 4, 2, 4, 1, 0, 4, 3, 3, 4, 0, 5, 3,  , 3, 5, 2, 0, 3, 4, 3, 1, 5, 7, 3, 1, 2, 6, 3, 4, 1, 1, 4, 3, 0, 2, 4, 3, 0, 170
