 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, rowcost
G major (1#), 3, 3, 1, 5, 4, 3, 2, 1, 4, 0, 3, 5, 4, 5, 1,  , 3, 4, 4, 4, 2, 5, 4, 2, 3, 3, 4, 3, 2, 4, 4, 4, 4, 2, 7, 2, 3, 3, 3, 5, 2, 5, 3, 1, 3, 5, 3, 1, 3, 3, 1, 5, 4, 3, 5, 3, 4, 5, 2,  , 3, 2, 4, 6, 3, 0, 207
D minor (1b), 2, 4, 1, 4, 3, 3, 0, 3, 3, 2, 1, 3, 3, 5, 1,  , 4, 3, 3, 2, 1, 3, 2, 4, 4, 3, 3, 4, 2, 3, 4, 3, 3, 1, 5, 2, 2, 2, 4, 4, 2, 4, 3, 0, 2, 4, 2, 0, 3, 4, 1, 4, 3, 3, 5, 3, 2, 3, 1,  , 3, 1, 5, 6, 5, 0, 178
E minor (1#), 3, 5, 1, 5, 5, 4, 2, 1, 4, 0, 3, 4, 4, 5, 1,  , 3, 5, 4, 4, 2, 5, 4, 4, 3, 4, 4, 4, 2, 4, 4, 5, 5, 2, 7, 2, 3, 3, 4, 4, 3, 5, 5, 1, 3, 5, 3, 1, 3, 5, 1, 5, 5, 4, 4, 4, 6, 5, 2,  , 3, 2, 5, 6, 3, 0, 227
D minor mel (1b), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
E minor mel (1#), 2, 5, 2, 4, 4, 2, 1, 2, 4, 1, 2, 4, 3, 6, 1,  , 4, 4, 4, 3, 1, 4, 3, 4, 4, 4, 4, 5, 2, 4, 4, 4, 4, 1, 6, 2, 2, 3, 3, 5, 2, 5, 4, 0, 2, 5, 2, 1, 2, 5, 2, 4, 4, 2, 5, 4, 3, 4, 2,  , 3, 2, 4, 7, 4, 0, 205
F major blues (1b), 2, 5, 2, 4, 4, 2, 1, 2, 4, 1, 2, 4, 3, 6, 1,  , 4, 4, 4, 3, 1, 4, 3, 4, 4, 4, 4, 5, 2, 4, 4, 4, 4, 1, 6, 2, 2, 3, 3, 5, 2, 5, 4, 0, 2, 5, 2, 1, 2, 5, 2, 4, 4, 2, 5, 4, 3, 4, 2,  , 3, 2, 4, 7, 4, 0, 205
G major blues (1#), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
D minor blues (1b), 2, 5, 2, 4, 4, 2, 1, 2, 4, 1, 2, 4, 3, 6, 1,  , 4, 4, 4, 3, 1, 4, 3, 4, 4, 4, 4, 5, 2, 4, 4, 4, 4, 1, 6, 2, 2, 3, 3, 5, 2, 5, 4, 0, 2, 5, 2, 1, 2, 5, 2, 4, 4, 2, 5, 4, 3, 4, 2,  , 3, 2, 4, 7, 4, 0, 205
E minor blues (1#), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
F dorian (1b), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
G dorian (1#), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
F phrygian (1b), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
G phrygian (1#), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
F lydian (1b), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
G lydian (1#), 2, 2, 2, 4, 2, 3, 0, 2, 2, 2, 1, 3, 2, 4, 1,  , 3, 2, 2, 1, 1, 2, 1, 2, 3, 2, 2, 4, 2, 2, 3, 2, 2, 1, 3, 1, 3, 1, 3, 3, 1, 3, 1, 0, 2, 3, 2, 0, 3, 2, 2, 4, 2, 3, 5, 2, 1, 3, 1,  , 3, 1, 4, 4, 4, 0, 139
F mixolydian (1b), 3, 3, 1, 5, 4, 3, 2, 1, 4, 0, 3, 5, 4, 5, 1,  , 3, 4, 4, 4, 2, 5, 4, 2, 3, 3, 4, 3, 2, 4, 4, 4, 4, 2, 7, 2, 3, 3, 3, 5, 2, 5, 3, 1, 3, 5, 3, 1, 3, 3, 1, 5, 4, 3, 5, 3, 4, 5, 2,  , 3, 2, 4, 6, 3, 0, 207
G mixolydian (1#), 2, 4, 1, 4, 3, 3, 0, 3, 3, 2, 1, 3, 3, 5, 1,  , 4, 3, 3, 2, 1, 3, 2, 4, 4, 3, 3, 4, 2, 3, 4, 3, 3, 1, 5, 2, 2, 2, 4, 4, 2, 4, 3, 0, 2, 4, 2, 0, 3, 4, 1, 4, 3, 3, 5, 3, 2, 3, 1,  , 3, 1, 5, 6, 5, 0, 178
F aeolian (1b), 3, 5, 1, 5, 5, 4, 2, 1, 4, 0, 3, 4, 4, 5, 1,  , 3, 5, 4, 4, 2, 5, 4, 4, 3, 4, 4, 4, 2, 4, 4, 5, 5, 2, 7, 2, 3, 3, 4, 4, 3, 5, 5, 1, 3, 5, 3, 1, 3, 5, 1, 5, 5, 4, 4, 4, 6, 5, 2,  , 3, 2, 5, 6, 3, 0, 227
G aeolian (1#), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
F locrian (1b), 2, 5, 2, 4, 4, 2, 1, 2, 4, 1, 2, 4, 3, 6, 1,  , 4, 4, 4, 3, 1, 4, 3, 4, 4, 4, 4, 5, 2, 4, 4, 4, 4, 1, 6, 2, 2, 3, 3, 5, 2, 5, 4, 0, 2, 5, 2, 1, 2, 5, 2, 4, 4, 2, 5, 4, 3, 4, 2,  , 3, 2, 4, 7, 4, 0, 205
G locrian (1#), 2, 5, 2, 4, 4, 2, 1, 2, 4, 1, 2, 4, 3, 6, 1,  , 4, 4, 4, 3, 1, 4, 3, 4, 4, 4, 4, 5, 2, 4, 4, 4, 4, 1, 6, 2, 2, 3, 3, 5, 2, 5, 4, 0, 2, 5, 2, 1, 2, 5, 2, 4, 4, 2, 5, 4, 3, 4, 2,  , 3, 2, 4, 7, 4, 0, 205
Bb major (2b), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
D major (2#), 2, 5, 2, 4, 4, 2, 1, 2, 4, 1, 2, 4, 3, 6, 1,  , 4, 4, 4, 3, 1, 4, 3, 4, 4, 4, 4, 5, 2, 4, 4, 4, 4, 1, 6, 2, 2, 3, 3, 5, 2, 5, 4, 0, 2, 5, 2, 1, 2, 5, 2, 4, 4, 2, 5, 4, 3, 4, 2,  , 3, 2, 4, 7, 4, 0, 205
G minor (2b), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
B minor (2#), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
G minor mel (2b), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
B minor mel (2#), 2, 3, 2, 4, 3, 2, 1, 2, 3, 1, 2, 4, 2, 6, 1,  , 4, 3, 3, 2, 1, 3, 2, 2, 4, 4, 3, 4, 2, 3, 3, 3, 3, 1, 4, 1, 2, 2, 2, 4, 1, 4, 2, 0, 2, 4, 2, 1, 2, 3, 2, 4, 3, 2, 6, 4, 2, 4, 2,  , 3, 2, 3, 5, 4, 0, 170
