 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, rowcost
C major (0), 0/0, 0/0, 0/0, 0/0, 0/0, 1/1, 1/2, 2/3, 0/0, 1/1, 0/0, 0/0, 0/0, 0/0, 3/2, 2/2, 1/1, 0/0, 0/0, 2/1, 0/0, 3/3, 0/0, 1/0, 0/0, 2/2, 2/2, 4/4, 1/2, 0/0, 1/1, 2/1, 0/0, 2/1, 2/2,  , 1/1, 1/0, 2/1, 4/3, 2/1, 1/1, 2/1, 2/1, 0/0, 0/0, 0/0, 1/2, 0/0, 49/42
A minor (0), 0/2, 0/2, 0/3, 0/0, 0/1, 1/2, 1/1, 2/3, 0/0, 2/1, 0/1, 0/1, 0/2, 0/1, 2/1, 2/4, 2/3, 0/0, 0/0, 2/3, 0/4, 4/6, 0/2, 1/0, 0/0, 2/2, 1/2, 2/0, 1/2, 0/0, 2/6, 3/4, 0/1, 2/3, 1/2,  , 2/3, 1/2, 2/2, 4/3, 2/4, 1/1, 2/2, 3/4, 0/1, 0/0, 0/1, 4/2, 0/0, 54/90
A minor mel (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
C major blues (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
A minor blues (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
C dorian (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
C phrygian (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
C lydian (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
C mixolydian (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
C aeolian (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
C locrian (0),  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 0/0
F major (1b), 1/0, 1/0, 0/0, 0/0, 0/0, 2/1, 1/2, 3/3, 0/0, 1/1, 0/0, 1/4, 0/0, 1/4, 2/2, 1/1, 1/1, 0/0, 1/0, 1/1, 0/0, 2/3, 0/0, 2/1, 1/1, 3/3, 3/4, 3/2, 1/2, 0/0, 1/1, 1/1, 0/0, 3/3, 2/2,  , 1/1, 0/0, 2/1, 3/3, 1/1, 1/1, 2/1, 1/1, 0/0, 1/0, 0/0, 2/2, 0/0, 53/54
G major (1#), 1/0, 1/0, 1/0, 0/0, 1/0, 1/1, 1/2, 2/3, 0/0, 2/1, 1/0, 0/0, 0/0, 0/0, 3/2, 3/2, 2/1, 0/0, 1/0, 3/1, 1/0, 4/3, 1/0, 0/0, 0/0, 2/2, 3/4, 2/0, 2/1, 0/0, 2/6, 3/5, 1/3, 1/1, 3/5,  , 1/1, 2/0, 3/1, 3/3, 3/1, 1/1, 1/1, 3/3, 1/0, 1/0, 1/0, 2/2, 0/0, 70/56
