id,title,composer,KSgt,KSest,notes,err,time
101,101-Beethoven-bagatelle4op33,,(3),E major (4),70,0,0.024
102,102-Beethoven-quatuor16op135,,,b- minor (-5),96,0,0.022
103,103-SaintSaens-elephant,,,E- major (-3),57,0,0.014
104,104-Haendel-concertogrosso4op6,,,a minor (0),81,0,0.025
105,105-Schubert-gloria,,D major (2),A major (3),67,0,0.012
106,106-Bach-polonaise,,,G major (1),127,0,0.056
107,107-Wolf-chantEspagnol8,,D major (2),e minor (1),85,1,0.022
108,108-Beethoven-quatuor13op130,,,G major (1),61,0,0.014
109,109-Kuhlau-sonatineop60n1,,F major (-1),a minor (0),90,0,0.034
110,110-Haendel-concertogrosso3,,,e minor (1),86,0,0.018
111,111-Mozart-sonateKV570,,(-2),d minor (-1),98,3,0.092
112,112-Haydn-fantasia,,,C major (0),68,0,0.026
113,113-Gretchaninoff-retour,,,G major (1),89,0,0.024
114,114-Clementi-rondoSonateop25,,,G major (1),86,0,0.025
115,115-Clementi-sonatineop36n1,,(0),G major (1),91,0,0.036
117,117-Schumann-trio2,,,b- minor (-5),72,0,0.015
118,118-Greensleeves,,,g minor (-2),75,0,0.020
119,119-Mendelssohn-romances31op67,,,E- major (-3),74,0,0.042
120,120-Bach-gavotte,,,e minor (1),130,0,0.042
121,121-Beethoven-adagioSonate1op2,,,F major (-1),51,1,0.022
122,122-pop,,,C major (0),58,0,0.013
123,123-Mozart-Canzonetta,,,b minor (2),60,0,0.014
124,124-Schubert-quatuor13op29,,,C major (0),82,5,0.024
125,125-Wolf-melodie5,,A major (3),b minor (2),66,0,0.016
126,126-Milhaud-suiteProvencale,,C major (0),D major (2),61,0,0.015
127,127-Lemoine-etude38,,C major (0),e minor (1),93,0,0.024
128,128-Wolf-melodiesItalienne26,,E- major (-3),g minor (-2),94,5,0.027
129,129-Mozart-sonateKV331,,,A major (3),60,0,0.015
130,130-Haendel-concertogrosso10,,,d minor (-1),85,0,0.040
131,131-negrospiritual,,,G major (1),73,0,0.026
132,132-Bach-Brandegourgeois4,,,G major (1),108,0,0.025
133,133-Mozart-KV282,,,c minor (-3),107,2,0.035
134,134-Purcell-gigue,,,a minor (0),81,0,0.025
135,135-Schumann-concertola,,,d minor (-1),66,0,0.024
136,136-Schumann-Myrten25op25,,,c minor (-3),77,2,0.016
138,138-Wolf-melodie1,,,A major (3),90,4,0.024
140,140-Clementi-sonate3op25,,B- major (-2),d minor (-1),112,1,0.046
141,141-Puig-Roget,,,C major (0),67,0,0.019
142,142-Wolf-chantsitaliens35,,(-3),g minor (-2),77,2,0.021
143,143-Wolf-melodiesespagnoles1,,,d minor (-1),91,13,0.024
144,144-Wolf-melodiesespagnoles13,,,b minor (2),67,0,0.013
145,145-Clementi-sonate3op25,,,g minor (-2),87,1,0.039
146,146-Clementi-sonatine2op35,,,e minor (1),117,0,0.032
147,147-Beethoven-rondosonateop28,,,D major (2),56,0,0.016
148,148-Mozart-concertofluteKV314,,,b minor (2),61,1,0.022
149,149-Wolf-melodiesespagnoles2,,,a minor (0),91,1,0.018
151,151-Mozart-duettinoDonJuanI97,,,A major (3),70,0,0.015
152,152-Clementi-sonate5op36,,,C major (0),89,0,0.025
153,153-Wolf-chansonsItaliennes21,,F major (-1),a minor (0),90,0,0.035
154,154-Clementi-sonatine1op37,,,c minor (-3),83,0,0.057
155,155-CPEBach-ariavar2,,,A major (3),57,0,0.012
156,156-Haendel-hornpipeconcertogrosso7,,,B- major (-2),79,0,0.064
157,157-Wolf-melodiesitaliennes20,,,g minor (-2),96,2,0.020
158,158-Beethoven-quatuor1op18,,,F major (-1),94,0,0.071
159,159-Dussek-rondo,,,B- major (-2),141,0,0.042
160,160-Beethoven-trio2op70,,,C major (0),49,0,0.011
161,161-Rimsky-Korsakov-Scheherazade,,,G major (1),117,0,0.057
162,162-Chopin-nocturne1op32,,,B major (5),53,0,0.036
163,163-Beethoven-septuorop20,,,c minor (-3),61,1,0.023
164,164-Clementi-rondosonatine2op38,,,B- major (-2),53,0,0.015
165,165-Balbastre-pastorale,,,a minor (0),57,0,0.017
168,168-Beethoven-quatuor1op18,,F major (-1),a minor (0),94,12,0.018
169,169-Wolf-chantsitaliens29,,,a minor (0),93,19,0.032
171,171-Mozart-concertobasson,,,d minor (-1),79,0,0.099
172,172-Beethoven-trio2op70,,,C major (0),65,0,0.019
173,173-Kuhlau-sonative1op60,,,d minor (-1),132,1,0.058
174,174-negrospiritual,,C major (0),B- major (-2),69,0,0.027
177,177-Boulnois-berceuse,,C major (0),e minor (1),84,2,0.028
178,178-Poulenc,,D major (2),A major (3),85,0,0.020
179,179-Clementi-canone33,,,a minor (0),83,0,0.020
180,180-Haendel-concertogrosso9op6,,,F major (-1),58,0,0.016
201,201-Beethoven-variation1,,,e minor (1),97,1,0.031
202,202-Bach-sarabande,,,d minor (-1),86,1,0.021
203,203-Listz-preludes,,,a minor (0),113,4,0.045
205,205-Bach-credo,,,D major (2),105,0,0.044
206,206-Beethoven-sonateop26,,(-4),b- minor (-5),67,0,0.017
207,207-Bach-aria,,,e minor (1),134,0,0.057
209,209-Beethoven-rondoop13,,,c minor (-3),87,0,0.030
210,210-Schubert-benedictus,,,G major (1),78,0,0.033
211,211-Haydn,,,C major (0),132,0,0.082
213,213-Beethoven-sonate2op14,,,G major (1),85,0,0.024
214,214-Schumann-trio3,,,c minor (-3),128,8,0.162
215,215-Debussy-passepied,,A major (3),c# minor (4),51,0,0.012
216,216-Haendel,,,D major (2),147,0,0.036
217,217-Beethoven-octuorop103,,(-2),d minor (-1),84,0,0.034
218,218-Beethoven-sonateop28,,,d minor (-1),85,5,0.023
219,219-Schubert-scherzo,,,g minor (-2),80,0,0.021
220,220-Mozart-sonateKV281,,,c minor (-3),136,1,0.044
221,221-Monteverdi-orfeo,,(-1),B- major (-2),31,0,0.007
222,222-Bartok-burlesque,,C major (0),g minor (-2),66,2,0.022
223,223-Monteverdi-Orfeo,,C major (0),e minor (1),43,1,0.009
224,224-Schumann-trio3op110,,,g minor (-2),61,0,0.017
225,225-Beethoven-variationsop24,,,F major (-1),97,0,0.026
226,226-Milhaud-Boeuf,,,a minor (0),102,1,0.027
227,227-Mozart-quintetK407,,,g minor (-2),105,1,0.031
228,228-Schuman-myrthen7op25,,,b- minor (-5),62,4,0.015
229,229-Liszt-melodie,,G major (1),c minor (-3),81,7,0.025
230,230-Schumann-trio2,,(-1),a minor (0),74,2,0.018
231,231-Duparc-elegie,,,d minor (-1),47,3,0.009
232,232-Beethoven-sonateop22,,,c minor (-3),70,11,0.035
233,233-Debussy-cloches,,,E major (4),64,0,0.016
234,234-Beethoven-symphonie2op36,,,A major (3),74,0,0.016
235,235-Schumann-quatuor1op41,,,a minor (0),142,1,0.051
236,236-Schubert-scherzo,,,G major (1),82,0,0.033
237,237-Beethoven-symphonie6,,,B- major (-2),122,0,0.058
239,239-Beethoven-themavar,,,G major (1),71,0,0.019
240,240-Haydn-sonate5,,,C major (0),124,0,0.032
241,241-Haendel-sicilianaconcertogrosso8,,,c minor (-3),116,0,0.061
243,243-Strauss-melodie1op56,,(-1),f minor (-4),87,3,0.024
244,244-Bach-concerto1violon,,C major (0),G major (1),129,3,0.252
245,245-Debussy-Arabesque2,,,e minor (1),184,0,0.094
246,246-Mozart-marcheflute,,,F major (-1),97,0,0.029
247,247-Schubert-Benedictus,,,G major (1),41,0,0.012
248,248-Mozart-sonateKV280,,,A- major (-4),97,1,0.028
249,249-Mozart-andateKV9b,,B- major (-2),d minor (-1),128,6,0.049
250,250-Cliquet-Pleyel,,,a minor (0),99,0,0.025
251,251-Schumann-Myrthen10op25,,,c minor (-3),67,0,0.013
252,252-Kuhlau-sonatine2op60,,,A major (3),68,0,0.017
253,253-Schubert-gloria,,,D major (2),50,0,0.010
254,254-Haydn-quatuor5op76,,,b minor (2),111,1,0.072
255,255-Mozart-sonateDomKV457,,,c minor (-3),174,14,1.076
256,256-Mozart-sonataKV309,,,F major (-1),138,0,0.093
257,257-Mozart-quintetteDomKV309,,E- major (-3),g minor (-2),112,1,0.067
258,258-Schumann-quatuor2FaMop41,,,d minor (-1),105,4,0.026
260,260-Monteverdi-Orfeo,,(0),e minor (1),84,6,0.018
262,262-Schumann-Myrthen23op25,,,D major (2),82,1,0.022
263,263-Clergue-Tom,,,F major (-1),70,0,0.019
265,265-Mozart-Aria15,,,c# minor (4),119,0,0.041
266,266-Debussy-Berger,,,f# minor (3),72,2,0.031
267,267-Lalo-RoidYs,,,d minor (-1),52,0,0.015
268,268-Scarlatti-sonatepastorale,,,e minor (1),115,0,0.055
269,269-Beethoven-quatuor1op18,,,d minor (-1),132,0,0.034
271,271-Duparc-elegie,,,d minor (-1),64,1,0.012
