 , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, rowcost
C major (0),  ,  ,  ,  , 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 4, 4, 3, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 2, 1,  ,  ,  ,  ,  ,  , 1, 2, 2, 3, 1, 0, 0, 0, 0, 37
A minor (0),  ,  ,  ,  , 2, 1, 2, 1, 2, 1, 2, 2, 2, 1, 3, 2, 1, 0, 2, 0, 1, 1, 2, 1, 1, 1, 2, 3, 1,  ,  ,  ,  ,  ,  , 2, 2, 2, 2, 0, 0, 0, 1, 0, 46
A minor mel (0),  ,  ,  ,  , 3, 1, 3, 1, 3, 1, 3, 2, 2, 2, 2, 3, 0, 0, 1, 0, 1, 1, 3, 1, 1, 1, 3, 4, 0,  ,  ,  ,  ,  ,  , 2, 2, 2, 1, 0, 0, 0, 2, 0, 51
C major blues (0),  ,  ,  ,  , 2, 0, 2, 0, 2, 0, 2, 1, 1, 2, 4, 5, 4, 0, 2, 0, 1, 1, 2, 0, 1, 1, 2, 3, 1,  ,  ,  ,  ,  ,  , 1, 3, 3, 4, 1, 1, 1, 1, 0, 54
A minor blues (0),  ,  ,  ,  , 2, 0, 2, 0, 2, 0, 2, 1, 1, 2, 4, 4, 3, 0, 2, 0, 1, 1, 2, 0, 1, 1, 2, 3, 1,  ,  ,  ,  ,  ,  , 1, 3, 3, 4, 1, 1, 1, 1, 0, 52
C dorian (0),  ,  ,  ,  , 2, 0, 2, 0, 2, 0, 2, 1, 1, 2, 3, 5, 2, 0, 0, 0, 1, 1, 2, 0, 1, 1, 2, 3, 0,  ,  ,  ,  ,  ,  , 1, 2, 2, 2, 1, 0, 0, 1, 0, 42
C phrygian (0),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1,  ,  ,  ,  ,  ,  , 0, 3, 3, 3, 1, 0, 0, 0, 0, 27
C lydian (0),  ,  ,  ,  , 2, 0, 2, 0, 2, 0, 2, 1, 1, 2, 3, 5, 2, 0, 0, 0, 1, 1, 2, 0, 1, 1, 2, 3, 0,  ,  ,  ,  ,  ,  , 1, 2, 2, 2, 1, 0, 0, 1, 0, 42
C mixolydian (0),  ,  ,  ,  , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 4, 0, 2, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1,  ,  ,  ,  ,  ,  , 0, 3, 3, 3, 1, 0, 0, 0, 0, 27
C aeolian (0),  ,  ,  ,  , 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 4, 4, 3, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 2, 1,  ,  ,  ,  ,  ,  , 1, 2, 2, 3, 1, 0, 0, 0, 0, 37
